id,id_str,screen_name,location,description,url,followers_count,friends_count,listedcount,created_at,favourites_count,verified,statuses_count,lang,status,default_profile,default_profile_image,has_extended_profile,name,bot
3982731976,3982731976,mcgucket_bot,,A bot that tweets every line said by Fiddleford McGucket on Gravity Falls every 30 minutes.,,1129,7,2,Sat Oct 17 22:35:31 +0000 2015,0,FALSE,23557,en,"{'retweeted': False, 'is_quote_status': False, 'favorite_count': 0, 'retweet_count': 0, 'place': None, 'in_reply_to_status_id': None, 'entities': {'urls': [], 'user_mentions': [], 'hashtags': [], 'symbols': []}, 'geo': None, 'id_str': '841319282986237952', 'in_reply_to_screen_name': None, 'text': ""It's happening! The End Times! When that machine activates... I gotta get outta town!"", 'in_reply_to_user_id_str': None, 'source': '<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>', 'truncated': False, 'in_reply_to_user_id': None, 'created_at': 'Mon Mar 13 16:05:22 +0000 2017', 'contributors': None, 'in_reply_to_status_id_str': None, 'lang': 'en', 'id': 841319282986237952, 'favorited': False, 'coordinates': None}",FALSE,FALSE,FALSE,McGucket bot,1
8.41E+17,8.41E+17,BowieK66,,,,0,22,0,13/03/2017 22:21,0,FALSE,1,en,"Status(_api=<tweepy.api.API object at 0x101927e48>, _json={'created_at': 'Mon Mar 13 22:35:37 +0000 2017', 'id': 841417491268145152, 'id_str': '841417491268145152', 'text': '@FoxNews @BretBaier @SpeakerRyan', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'FoxNews', 'name': 'Fox News', 'id': 1367531, 'id_str': '1367531', 'indices': [0, 8]}, {'screen_name': 'BretBaier', 'name': 'Bret Baier', 'id': 18646108, 'id_str': '18646108', 'indices': [9, 19]}, {'screen_name': 'SpeakerRyan', 'name': 'Paul Ryan', 'id': 18916432, 'id_str': '18916432', 'indices': [20, 32]}], 'urls': []}, 'source': '<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>', 'in_reply_to_status_id': 841416447494508544, 'in_reply_to_status_id_str': '841416447494508544', 'in_reply_to_user_id': 1367531, 'in_reply_to_user_id_str': '1367531', 'in_reply_to_screen_name': 'FoxNews', 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 0, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'lang': 'und'}, created_at=datetime.datetime(2017, 3, 13, 22, 35, 37), id=841417491268145152, id_str='841417491268145152', text='@FoxNews @BretBaier @SpeakerRyan', truncated=False, entities={'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'FoxNews', 'name': 'Fox News', 'id': 1367531, 'id_str': '1367531', 'indices': [0, 8]}, {'screen_name': 'BretBaier', 'name': 'Bret Baier', 'id': 18646108, 'id_str': '18646108', 'indices': [9, 19]}, {'screen_name': 'SpeakerRyan', 'name': 'Paul Ryan', 'id': 18916432, 'id_str': '18916432', 'indices': [20, 32]}], 'urls': []}, source='Twitter for Android', source_url='http://twitter.com/download/android', in_reply_to_status_id=841416447494508544, in_reply_to_status_id_str='841416447494508544', in_reply_to_user_id=1367531, in_reply_to_user_id_str='1367531', in_reply_to_screen_name='FoxNews', geo=None, coordinates=None, place=None, contributors=None, is_quote_status=False, retweet_count=0, favorite_count=0, favorited=False, retweeted=False, lang='und')",TRUE,TRUE,FALSE,MJ Kuhn,1
2768374981,2768374981,ducknoteprice,,,,3,0,3,Mon Aug 25 23:17:59 +0000 2014,0,FALSE,1050,en,"{'created_at': 'Fri Feb 26 17:01:15 +0000 2016', 'id': 703263569035526146, 'id_str': '703263569035526146', 'text': 'The average price of duckNote across all exchanges is 0.000085 USD', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}, 'source': '<a href=""http://l50.co/cryptobot"" rel=""nofollow"">Ducknote Price</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 0, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'lang': 'en'}",TRUE,FALSE,FALSE,duckNote,1
3304189373,3304189373,robotrecipes,robot kitchen,tasty recipes for robot // not for human // a bot by @inky (human) // source: https://t.co/3SFVj3be16,http://t.co/PdagJGqVMR,505,13,49,Sat May 30 23:42:16 +0000 2015,0,FALSE,5109,en,"{u'contributors': None, u'truncated': False, u'text': u'Gooseberry Plush: Stir fermium and modified atmosphere in a clothes dryer. Top with pitaya.', u'is_quote_status': False, u'in_reply_to_status_id': None, u'id': 840994592698822657, u'favorite_count': 1, u'source': u'<a href=""http://cheapbotsdonequick.com"" rel=""nofollow"">Cheap Bots, Done Quick!</a>', u'retweeted': False, u'coordinates': None, u'entities': {u'symbols': [], u'user_mentions': [], u'hashtags': [], u'urls': []}, u'in_reply_to_screen_name': None, u'in_reply_to_user_id': None, u'retweet_count': 0, u'id_str': u'840994592698822657', u'favorited': False, u'geo': None, u'in_reply_to_user_id_str': None, u'lang': u'en', u'created_at': u'Sun Mar 12 18:35:10 +0000 2017', u'in_reply_to_status_id_str': None, u'place': None}",FALSE,FALSE,FALSE,robot recipes,1
3224289024,3224289024,everyumlaut,,bot by @dbaker_h,,15,0,11,Sat May 23 14:39:21 +0000 2015,0,FALSE,31365,en-gb,"{u'contributors': None, u'truncated': False, u'text': u'\xebn\u0308d\u0308g\u0308\xe4m\u0308\xebs\u0308', u'is_quote_status': False, u'in_reply_to_status_id': None, u'id': 841023496457134080, u'favorite_count': 0, u'source': u'<a href=""https://twitter.com/everyumlaut"" rel=""nofollow"">everyumlaut</a>', u'retweeted': False, u'coordinates': None, u'entities': {u'symbols': [], u'user_mentions': [], u'hashtags': [], u'urls': []}, u'in_reply_to_screen_name': None, u'in_reply_to_user_id': None, u'retweet_count': 0, u'id_str': u'841023496457134080', u'favorited': False, u'geo': None, u'in_reply_to_user_id_str': None, u'lang': u'in', u'created_at': u'Sun Mar 12 20:30:01 +0000 2017', u'in_reply_to_status_id_str': None, u'place': None}",TRUE,FALSE,FALSE,Ã«vÃ«rÃ¿ Ã_mlÃ_Ã_áº—,1
7.30E+17,7.30E+17,glossatory,Australah,SOCIAL ON GLOSSATORY: the branch of the considered addered poker by looses - a bot by @bombinans,https://t.co/hcUNcUdlcq,16,1,4,5/11/2016 5:45,0,FALSE,1832,en,"Status(in_reply_to_user_id=None, favorited=False, retweeted=False, contributors=None, _json={'in_reply_to_user_id': None, 'favorited': False, 'retweeted': False, 'contributors': None, 'text': ""[editor's note: GLOSSATORY is having technical issues and will return in a few weeks]"", 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}, 'in_reply_to_screen_name': None, 'is_quote_status': False, 'in_reply_to_status_id_str': None, 'coordinates': None, 'truncated': False, 'id': 816030658308894720, 'in_reply_to_status_id': None, 'id_str': '816030658308894720', 'created_at': 'Mon Jan 02 21:17:24 +0000 2017', 'lang': 'en', 'source': '<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'retweet_count': 0, 'favorite_count': 0, 'place': None, 'in_reply_to_user_id_str': None, 'geo': None}, _api=<tweepy.api.API object at 0x7f47e11820f0>, entities={'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}, in_reply_to_user_id_str=None, in_reply_to_status_id_str=None, in_reply_to_screen_name=None, is_quote_status=False, truncated=False, coordinates=None, id=816030658308894720, in_reply_to_status_id=None, id_str='816030658308894720', created_at=datetime.datetime(2017, 1, 2, 21, 17, 24), lang='en', source='Twitter Web Client', geo=None, text=""[editor's note: GLOSSATORY is having technical issues and will return in a few weeks]"", favorite_count=0, place=None, source_url='http://twitter.com', retweet_count=0)",FALSE,FALSE,FALSE,GLOSSATORY,1
8.20E+17,8.20E+17,Fancypants6047,vancouver,,,41,394,0,13/01/2017 19:37,3,FALSE,4,en,"Status(_api=<tweepy.api.API object at 0x101927e48>, _json={'created_at': 'Thu Mar 09 05:51:26 +0000 2017', 'id': 839715231282655233, 'id_str': '839715231282655233', 'text': '@VPeur  Hey quand y le beau temps arrive...tite frette\n sur y=une terasse ?', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'VPeur', 'name': 'David Bujold', 'id': 839175258242437124, 'id_str': '839175258242437124', 'indices': [0, 6]}], 'urls': []}, 'source': '<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': 839175258242437124, 'in_reply_to_user_id_str': '839175258242437124', 'in_reply_to_screen_name': 'VPeur', 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 1, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'lang': 'fr'}, created_at=datetime.datetime(2017, 3, 9, 5, 51, 26), id=839715231282655233, id_str='839715231282655233', text='@VPeur  Hey quand y le beau temps arrive...tite frette\n sur y=une terasse ?', truncated=False, entities={'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'VPeur', 'name': 'David Bujold', 'id': 839175258242437124, 'id_str': '839175258242437124', 'indices': [0, 6]}], 'urls': []}, source='Twitter Web Client', source_url='http://twitter.com', in_reply_to_status_id=None, in_reply_to_status_id_str=None, in_reply_to_user_id=839175258242437124, in_reply_to_user_id_str='839175258242437124', in_reply_to_screen_name='VPeur', geo=None, coordinates=None, place=None, contributors=None, is_quote_status=False, retweet_count=1, favorite_count=0, favorited=False, retweeted=False, lang='fr')",TRUE,FALSE,TRUE,Fancypants,1
2602217174,2602217174,Hedgehogize,Moebius,@Hedgehogize me or @Hedgehogize NAME to unlock your Sonic fursona. EXACT COMMANDS ONLY. Frequently throttled or banned. Botta Go Fast! By @avestal.,http://t.co/a1UvEiAl3u,549,370,12,Thu Jul 03 20:37:48 +0000 2014,12,FALSE,4658,en,"{u'contributors': None, u'truncated': False, u'text': u'@frickIIILLLYYY Oh, wow! Daddy the Hedgehog is mind-blowingly hawt?! https://t.co/bDgQQemkba', u'is_quote_status': False, u'in_reply_to_status_id': 840638851278340096, u'id': 840638979351302145, u'favorite_count': 0, u'source': u'<a href=""http://deviantart.net"" rel=""nofollow"">Hedgehogize</a>', u'retweeted': False, u'coordinates': None, u'entities': {u'symbols': [], u'user_mentions': [{u'id': 2873364197, u'indices': [0, 15], u'id_str': u'2873364197', u'screen_name': u'frickIIILLLYYY', u'name': u'alcoholic goth dad'}], u'hashtags': [], u'urls': [], u'media': [{u'expanded_url': u'https://twitter.com/Hedgehogize/status/840638979351302145/photo/1', u'display_url': u'pic.twitter.com/bDgQQemkba', u'url': u'https://t.co/bDgQQemkba', u'media_url_https': u'https://pbs.twimg.com/media/C6qMsjtU4AAepO5.jpg', u'id_str': u'840638977585504256', u'sizes': {u'small': {u'h': 680, u'resize': u'fit', u'w': 680}, u'large': {u'h': 894, u'resize': u'fit', u'w': 894}, u'medium': {u'h': 894, u'resize': u'fit', u'w': 894}, u'thumb': {u'h': 150, u'resize': u'crop', u'w': 150}}, u'indices': [69, 92], u'type': u'photo', u'id': 840638977585504256, u'media_url': u'http://pbs.twimg.com/media/C6qMsjtU4AAepO5.jpg'}]}, u'in_reply_to_screen_name': u'frickIIILLLYYY', u'in_reply_to_user_id': 2873364197, u'retweet_count': 0, u'id_str': u'840638979351302145', u'favorited': False, u'geo': None, u'in_reply_to_user_id_str': u'2873364197', u'possibly_sensitive': False, u'lang': u'en', u'created_at': u'Sat Mar 11 19:02:05 +0000 2017', u'in_reply_to_status_id_str': u'840638851278340096', u'place': None, u'extended_entities': {u'media': [{u'expanded_url': u'https://twitter.com/Hedgehogize/status/840638979351302145/photo/1', u'display_url': u'pic.twitter.com/bDgQQemkba', u'url': u'https://t.co/bDgQQemkba', u'media_url_https': u'https://pbs.twimg.com/media/C6qMsjtU4AAepO5.jpg', u'id_str': u'840638977585504256', u'sizes': {u'small': {u'h': 680, u'resize': u'fit', u'w': 680}, u'large': {u'h': 894, u'resize': u'fit', u'w': 894}, u'medium': {u'h': 894, u'resize': u'fit', u'w': 894}, u'thumb': {u'h': 150, u'resize': u'crop', u'w': 150}}, u'indices': [69, 92], u'type': u'photo', u'id': 840638977585504256, u'media_url': u'http://pbs.twimg.com/media/C6qMsjtU4AAepO5.jpg'}]}}",FALSE,FALSE,FALSE,YOU the Hedgehog,1
8.33E+17,8.33E+17,jamieph93986621,,"I wasn't bor ysterday,  was born tomorrow",,0,60,0,Sun Feb 19 03:47:42 +0000 2017,0,FALSE,10,en,"{""created_at"": ""Mon Mar 13 02:55:10 +0000 2017"", ""hashtags"": [], ""id"": 841120420182937600, ""id_str"": ""841120420182937600"", ""lang"": ""en"", ""source"": ""<a href=\""http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>"", ""text"": ""Bored.. I need something to do someone hmu"", ""urls"": [], ""user_mentions"": []}",TRUE,FALSE,FALSE,Jamie Phillips,1
8.25E+17,8.25E+17,NothemDonella,,Your diac No,,0,43,4,Fri Jan 27 15:51:34 +0000 2017,48,FALSE,86,en,"{""created_at"": ""Mon Mar 13 02:52:13 +0000 2017"", ""hashtags"": [], ""id"": 841119681276739586, ""id_str"": ""841119681276739586"", ""lang"": ""en"", ""retweet_count"": 2161, ""retweeted_status"": {""created_at"": ""Mon Mar 13 00:16:38 +0000 2017"", ""favorite_count"": 2186, ""hashtags"": [], ""id"": 841080526681313284, ""id_str"": ""841080526681313284"", ""lang"": ""en"", ""retweet_count"": 2161, ""source"": ""<a href=\""http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>"", ""text"": ""me: have a good break\n\nstudent athlete: I don't get a break \u270a I'll be out here grinding \ud83d\ude08 Imma be chasing \ud83c\udfc3\ud83c\udffd dreams \ud83d\udcadwhile you're lounging \ud83d\udcaf"", ""urls"": [], ""user_mentions"": []}, ""source"": ""<a href=\""http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>"", ""text"": ""RT @theviralmeme: me: have a good break\n\nstudent athlete: I don't get a break \u270a I'll be out here grinding \ud83d\ude08 Imma be chasing \ud83c\udfc3\ud83c\udffd dreams \ud83d\udcadwhil\u2026"", ""urls"": [], ""user_mentions"": [{""id"": 775821010771795968, ""name"": ""memes"", ""screen_name"": ""theviralmeme""}]}",TRUE,FALSE,FALSE,Donella Nothem,1
2215073972,2215073972,pony_strategies,,Best Strategy Guides for PÃ´neis Brilhantes series,,102,3,21,Tue Nov 26 03:54:32 +0000 2013,0,FALSE,10873,en,"{u'contributors': None, u'truncated': False, u'text': u'Time.--6 hours.', u'is_quote_status': False, u'in_reply_to_status_id': None, u'id': 841003113226027009, u'favorite_count': 1, u'source': u'<a href=""http://www.example.com/"" rel=""nofollow"">Ebooks Brilhantes</a>', u'retweeted': False, u'coordinates': None, u'entities': {u'symbols': [], u'user_mentions': [], u'hashtags': [], u'urls': []}, u'in_reply_to_screen_name': None, u'in_reply_to_user_id': None, u'retweet_count': 0, u'id_str': u'841003113226027009', u'favorited': False, u'geo': None, u'in_reply_to_user_id_str': None, u'lang': u'en', u'created_at': u'Sun Mar 12 19:09:01 +0000 2017', u'in_reply_to_status_id_str': None, u'place': None}",TRUE,FALSE,FALSE,Ebooks Brilhantes,1
2903085721,2903085721,imgconvos,,"@-mention me in a tweet from any reply thread between the image bots i follow, and i'll make a gif out of their conversation // by @thricedotted",https://t.co/1nSo6q0iJq,578,17,96,Mon Nov 17 21:22:30 +0000 2014,0,FALSE,5234,en,"{u'contributors': None, u'truncated': False, u'text': u'@wottow a beautiful scene, starring @MM_62_1234_14 and @pixelsorter https://t.co/6pAJDcXn6x', u'is_quote_status': False, u'in_reply_to_status_id': 674286516366012416, u'id': 759065736895533056, u'favorite_count': 2, u'source': u'<a href=""http://www.twitter.com/imgconvo"" rel=""nofollow"">imgconvo</a>', u'retweeted': False, u'coordinates': None, u'entities': {u'symbols': [], u'user_mentions': [{u'id': 225137991, u'indices': [0, 7], u'id_str': u'225137991', u'screen_name': u'wottow', u'name': u'fine of light'}, {u'id': 3181660408, u'indices': [36, 50], u'id_str': u'3181660408', u'screen_name': u'MM_62_1234_14', u'name': u'MM-62-1234-14'}, {u'id': 2802867446, u'indices': [55, 67], u'id_str': u'2802867446', u'screen_name': u'pixelsorter', u'name': u'Pixel Sorter'}], u'hashtags': [], u'urls': [], u'media': [{u'expanded_url': u'https://twitter.com/imgconvos/status/759065736895533056/photo/1', u'display_url': u'pic.twitter.com/6pAJDcXn6x', u'url': u'https://t.co/6pAJDcXn6x', u'media_url_https': u'https://pbs.twimg.com/tweet_video_thumb/Coi-Q1LUkAAhswS.jpg', u'id_str': u'759065733573677056', u'sizes': {u'small': {u'h': 340, u'resize': u'fit', u'w': 340}, u'large': {u'h': 600, u'resize': u'fit', u'w': 600}, u'medium': {u'h': 600, u'resize': u'fit', u'w': 600}, u'thumb': {u'h': 150, u'resize': u'crop', u'w': 150}}, u'indices': [68, 91], u'type': u'photo', u'id': 759065733573677056, u'media_url': u'http://pbs.twimg.com/tweet_video_thumb/Coi-Q1LUkAAhswS.jpg'}]}, u'in_reply_to_screen_name': u'wottow', u'in_reply_to_user_id': 225137991, u'retweet_count': 0, u'id_str': u'759065736895533056', u'favorited': False, u'geo': None, u'in_reply_to_user_id_str': u'225137991', u'possibly_sensitive': False, u'lang': u'en', u'created_at': u'Fri Jul 29 16:39:09 +0000 2016', u'in_reply_to_status_id_str': u'674286516366012416', u'place': None, u'extended_entities': {u'media': [{u'expanded_url': u'https://twitter.com/imgconvos/status/759065736895533056/photo/1', u'display_url': u'pic.twitter.com/6pAJDcXn6x', u'url': u'https://t.co/6pAJDcXn6x', u'media_url_https': u'https://pbs.twimg.com/tweet_video_thumb/Coi-Q1LUkAAhswS.jpg', u'video_info': {u'aspect_ratio': [1, 1], u'variants': [{u'url': u'https://video.twimg.com/tweet_video/Coi-Q1LUkAAhswS.mp4', u'bitrate': 0, u'content_type': u'video/mp4'}]}, u'id_str': u'759065733573677056', u'sizes': {u'small': {u'h': 340, u'resize': u'fit', u'w': 340}, u'large': {u'h': 600, u'resize': u'fit', u'w': 600}, u'medium': {u'h': 600, u'resize': u'fit', u'w': 600}, u'thumb': {u'h': 150, u'resize': u'crop', u'w': 150}}, u'indices': [68, 91], u'type': u'animated_gif', u'id': 759065733573677056, u'media_url': u'http://pbs.twimg.com/tweet_video_thumb/Coi-Q1LUkAAhswS.jpg'}]}}",FALSE,FALSE,FALSE,âù_ image bot convos âù_,1
8.27E+17,8.27E+17,StobbeKindra,,prabida,,1,34,0,Wed Feb 01 18:07:24 +0000 2017,68,FALSE,98,en,"{""created_at"": ""Mon Mar 13 02:56:53 +0000 2017"", ""hashtags"": [], ""id"": 841120855547609088, ""id_str"": ""841120855547609088"", ""lang"": ""en"", ""retweet_count"": 1124, ""retweeted_status"": {""created_at"": ""Mon Mar 13 02:26:31 +0000 2017"", ""favorite_count"": 384, ""hashtags"": [], ""id"": 841113211508281344, ""id_str"": ""841113211508281344"", ""lang"": ""en"", ""retweet_count"": 1124, ""source"": ""<a href=\""http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>"", ""text"": ""For great book promotion follow @tweetyournovel @books2delight @BookTweepz @BookBuzzers @TweetYourBooks @AuthorBookBoost @WriteIntoPrint"", ""urls"": [], ""user_mentions"": [{""id"": 287285192, ""name"": ""TweetYourNovel"", ""screen_name"": ""TweetYourNovel""}, {""id"": 3318192802, ""name"": ""books2delight"", ""screen_name"": ""books2delight""}, {""id"": 2701987350, ""name"": ""Book Tweeps"", ""screen_name"": ""BookTweepz""}, {""id"": 2184320539, ""name"": ""Book Buzzers"", ""screen_name"": ""BookBuzzers""}, {""id"": 328695608, ""name"": ""TYB Book Promotions"", ""screen_name"": ""TweetYourBooks""}, {""id"": 319962159, ""name"": ""Author #BookBoost"", ""screen_name"": ""AuthorBookBoost""}, {""id"": 225010383, ""name"": ""WriteIntoPrint"", ""screen_name"": ""WriteIntoPrint""}]}, ""source"": ""<a href=\""http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>"", ""text"": ""RT @DrJimmyStar: For great book promotion follow @tweetyournovel @books2delight @BookTweepz @BookBuzzers @TweetYourBooks @AuthorBookBoost @\u2026"", ""urls"": [], ""user_mentions"": [{""id"": 26570863, ""name"": ""Jimmy Star"", ""screen_name"": ""DrJimmyStar""}, {""id"": 287285192, ""name"": ""TweetYourNovel"", ""screen_name"": ""TweetYourNovel""}, {""id"": 3318192802, ""name"": ""books2delight"", ""screen_name"": ""books2delight""}, {""id"": 2701987350, ""name"": ""Book Tweeps"", ""screen_name"": ""BookTweepz""}, {""id"": 2184320539, ""name"": ""Book Buzzers"", ""screen_name"": ""BookBuzzers""}, {""id"": 328695608, ""name"": ""TYB Book Promotions"", ""screen_name"": ""TweetYourBooks""}, {""id"": 319962159, ""name"": ""Author #BookBoost"", ""screen_name"": ""AuthorBookBoost""}]}",TRUE,FALSE,FALSE,Kindra Stobbe,1
